11386 entries
44 namespaces
9519 values

Namespace Global (10608 keys)
	B67D88D244614D1A10D3D1902E9A1278 = "
Meestal is het probleem te wijten aan:
- Geen internetverbinding
- Uw firewall blokkeert het spel"
	1FDA61D648F87E331CA7489375A84335 = "
Waarschuwing: Zal alle sandbox mods uitschakelen."
	4A7E16E74D0CF1A7B3D01B8D80AFB480 = "
{modstatus}

Wil je deze veranderingen toepassen en het Ruimtestation nu opnieuw laden?
"
	3E2E82954782E77A2F596AB7FEA09136 = " Ik viel!"
	46DC5C9345AAA322FC0237A09ECEADA7 = " Ommoran schaal"
	37E366904F23B0C40314F29B7BE3D8D3 = " Wacht alstublieft tot er in de toekomst meer dingen worden toegevoegd."
	31D60A1449082F9AB6DC15844F3810F6 = " VERPLICHT"
	75AD2FE3498BE6FDEBB6FEBE4B313DD6 = " Sound Designer / muziekproducer"
	CC99101A43D27CD0B6D56484C12AC71D = " De sentry kan meer schoten afvuren voor het herladen."
	E0E180134C7EAF4A647A3A98FEC339AC = "!! VASTGELOPEN !!"
	9DE3AE324DB844BD8E835CB092A16D99 = "!Opdrachtvereiste Niet Vervuld!"
	B804AFD2431E4660DCEA52A4A05F81DA = ""Het gerucht gaat dat 'Laat geen dwerg achter' van deze regio terechtkomt. Iedereen die gezien heeft wat langdurige blootstelling aan de zoutkristallen doet begrijpt waarom.""
	2660CB0147BB176C7BED4CA8F8D87563 = ""Een dwerg ziet verder als hij op de schouders van een reus staat!""
	7A08710B44444ECFC61B76B9C1569163 = ""Een dwerg ziet verder als hij op de schouders van een reus staat!""
	83952EF040308BB9B237FDA3FA104D7D = ""Een dwerg ziet verder als hij op de schouders van een reus staat!""
	F4DC306C4D7F88FE61461FBA54E280E9 = ""Een dwerg ziet verder als hij op de schouders van een reus staat!""
	F46EBF4248905C5C258AC5A84443527B = ""Strandvakantie voor een arme dwerg.""
	4F6A260D44BFC3B210BB2B8CEA3B3B19 = ""Ah, rot op, allebei.""
	CFBD5A9446C706086671638BB02F2B9F = ""Lever altijd meer dan verwacht!""
	D6F2783E4EF9B33A3CEED6BD49DE379B = ""Lever altijd meer dan verwacht!""
	6AEFCD0941308D95C5CA318E0EC0E0C2 = ""En ik hoorde een stem in het midden van de vier dieren. En ik zag, en ziet, een vaal paard, en die daarop zat, zijn naam was de dood; en de hel volgde hem na.""
	8C87047441AC945EE4863CACDEBC3695 = ""Anonieme data" betekend dat wij informatie verzamelen over spel sessies maar we ze niet samenvoegen door enige vorm van identificatie.

Deze vorm van verzamelde informatie zal ons in staat stellen om beter te begrijpen in bredere zin hoe onze spelers plezier hebben in het spel en ons helpen meer plezier te creëren.

Alle data verzameld door deze methode worden door StatHat in complete anonimiteit beheerd. Deze data zal nooit met andere derden worden gedeeld."
	2E386E67451DDED41CDFFCBCBBD7C5E9 = ""Iemand deo te leen? Ik vraag het voor een vriend.""
	BDB3505E49E84657094C16853638E792 = ""Je raakt tenminste niet verbrand.""
	37C1CBDA40400EADD085728131C24FF1 = ""Barracuda" pantseropstelling"
	BBDDB3154A02915D1F37DE9FA3B26D26 = ""Barracuda" pantseropstelling"
	18BBCB794432CDDBF4714B8D4CEC2CBA = ""Baardcicles""
	9954642F4001FB08142EDD98E2C9B6F4 = ""Groot risico, Grote beloning! Kleine Risico, Zoek een andere opdracht!""
	D8746866498631341EEFFC99C83E2AB8 = ""Groot risico, Grote beloning! Kleine Risico, Zoek een andere opdracht!""
	5AD869E6463A8097D78B488A890ADDC8 = ""Extra explosieven mee nemen met een Magma Kern serie leek toen een goed idee.""
	77187D6F417505F2992A93908FEF653F = ""Bulldog" zware Revolver"
	53EC7D504D7A41FECC398A94506438AE = ""Verdomde allergien.""
	1B634B85412AB0E5A4E7F78207AE6A5B = ""Verdomme, dat was mijn lievelingsbroek!""
	0ED71C67474F6054F13D28B1CBB8BE54 = ""Dik, net als ik.""
	87B52814441871EB7D6C4492F7651921 = ""Bewoog die liaan nou?""
	4646B0FE4D768FA780476DB527338557 = ""Graaf Samen - of graaf je eigen graf!""
	76FA93D64581AB707EC002B078704ECF = ""Graaf Samen - of graaf je eigen graf!""
	C140D1C4444CEEEB4F15769911184114 = ""Graaf Samen - of graaf je eigen graf!""
	E0E303954037D0A08BD52BA7C89BD427 = ""Graaf Samen - of graaf je eigen graf!""
	EB5F54C54E5042C0AC8E738F59E85182 = ""Laat de schoonheid je niet bedriegen!""
	344608AF4AB651187F1233B6F8C1DC6F = ""Zelfs in de diepste krochten van Hoxxes IV vindt leven een weg.""
	561CC2CB40CBAAAB675EF5891A28E17D = ""Alles wat de straling niet doodt, maakt het sterker.""
	EA27223B481A21DD5002CBB05ADA46E4 = ""Beroemde laatste woorden: Kijk! Ik vlieg!""
	28A37DBD4556CA6593FCB19612C81F9C = ""Fox" pantseropstelling"
	3FC54A9C486E52824DDC02BCC7F2612D = ""Vos" pantseropstelling"
	BCB5CE944FA8FF4F3B1137B4EB5AE5B3 = ""Geef het tijd en de Schimmel groeit op je.""
	B7A39F4C4AF8F976B6D38B95FE3C32E6 = ""In het donker gloeien zal mij de hele nacht wakker houden.""
	AC0864534BD281945D8402BE82CF9745 = ""Geweldig, we gaan naar het land van waardeloze kristallen.""
	70FD9CD645105ACF9FA599BA79E805C8 = ""Groenbaarden die door de Magma tunnels lopen, laten hun twijfel en een goed aantal huid achter.""
